,datetime,description,icon
0,2023-05-06,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-05-07,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-05-08,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-05-09,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-05-10,Clear conditions throughout the day.,clear-day
5,2023-05-11,Clear conditions throughout the day.,clear-day
6,2023-05-12,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-05-13,Partly cloudy throughout the day.,partly-cloudy-day
