,datetime,tempmin,temp,tempmax
0,2023-05-08,13.9,16.2,18.4
1,2023-05-09,9.5,11.6,13.4
2,2023-05-10,7.3,13.6,19.0
3,2023-05-11,11.2,17.3,22.6
4,2023-05-12,14.5,18.8,23.0
5,2023-05-13,15.6,18.2,21.2
6,2023-05-14,13.2,15.9,18.1
7,2023-05-15,10.5,14.8,19.6
