,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-05-08,18.4,13.9,16.2,18.4,13.9,16.2,6.3,54.0,7.2,68.0,29.17,rain,0,0,35.3,20.5,319.6,1007.5,35.0,16.3,335.2,28.9,9,10,2023-05-08T05:30:49,2023-05-08T19:51:25,0.61,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,
1,"Boston, MA, United States",2023-05-09,13.4,9.5,11.6,13.4,8.0,11.5,1.9,51.6,0.0,0.0,0.0,,0,0,22.3,16.6,76.8,1013.6,16.2,16.3,290.5,25.0,8,10,2023-05-09T05:29:38,2023-05-09T19:52:29,0.64,Clear,Clear conditions throughout the day.,clear-day,
2,"Boston, MA, United States",2023-05-10,19.0,7.3,13.6,19.0,5.6,13.1,1.9,47.0,0.0,0.0,0.0,,0,0,23.4,15.8,281.5,1018.0,6.0,17.2,348.3,29.9,8,10,2023-05-10T05:28:28,2023-05-10T19:53:34,0.68,Clear,Clear conditions throughout the day.,clear-day,
3,"Boston, MA, United States",2023-05-11,22.6,11.2,17.3,22.6,11.2,17.3,6.0,48.7,0.0,1.0,0.0,,0,0,23.8,16.2,271.1,1017.8,24.4,24.1,300.6,26.0,7,10,2023-05-11T05:27:20,2023-05-11T19:54:38,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Boston, MA, United States",2023-05-12,23.0,14.5,18.8,23.0,14.5,18.8,9.6,55.9,0.0,13.0,0.0,,0,0,30.2,20.2,255.7,1015.2,52.8,24.1,233.5,20.2,6,10,2023-05-12T05:26:13,2023-05-12T19:55:41,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Boston, MA, United States",2023-05-13,21.2,15.6,18.2,21.2,15.6,18.2,10.4,61.1,0.0,16.0,0.0,,0,0,32.8,22.3,300.5,1016.8,50.0,24.1,103.6,8.9,3,10,2023-05-13T05:25:09,2023-05-13T19:56:45,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2023-05-14,18.1,13.2,15.9,18.1,13.2,15.9,7.7,59.0,0.9,35.0,12.5,rain,0,0,32.8,22.0,237.1,1015.4,55.8,24.1,331.0,28.5,8,10,2023-05-14T05:24:05,2023-05-14T19:57:47,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"Boston, MA, United States",2023-05-15,19.6,10.5,14.8,19.6,10.5,14.8,10.5,75.9,0.6,38.1,8.33,rain,0,0,47.5,22.3,267.6,999.8,80.3,15.2,102.6,8.8,5,10,2023-05-15T05:23:03,2023-05-15T19:58:49,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
