,datetime,description,icon
0,2023-05-01,Partly cloudy throughout the day with early morning rain.,rain
1,2023-05-02,Partly cloudy throughout the day with rain.,rain
2,2023-05-03,Partly cloudy throughout the day with rain.,rain
3,2023-05-04,Cloudy skies throughout the day with rain clearing later.,rain
4,2023-05-05,Partly cloudy throughout the day with rain clearing later.,rain
5,2023-05-06,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-05-07,Partly cloudy throughout the day with late afternoon rain.,rain
7,2023-05-08,Clearing in the afternoon with early morning rain.,rain
