,datetime,tempmin,temp,tempmax
0,2023-05-01,10.6,14.2,17.2
1,2023-05-02,8.8,10.9,15.6
2,2023-05-03,7.1,9.8,11.8
3,2023-05-04,6.7,8.3,9.9
4,2023-05-05,7.9,9.9,11.6
5,2023-05-06,10.5,17.8,24.4
6,2023-05-07,14.2,19.9,26.1
7,2023-05-08,13.9,16.2,18.4
